t; x; y; theta
15587312.887001; 0.00; 0.00; 0.00
15606972.089001; 0.00; 0.00; 0.00
15618302.742001; 0.00; 0.00; 0.00
15634501.845999; 0.00; 0.00; 0.00
15657016.526999; 0.00; 0.00; 0.00
15665477.639999; 0.00; 0.00; 0.00
15682401.508999; 0.00; 0.00; 0.00
15700427.985001; 0.00; 0.00; 0.00
15713406.823002; 0.00; 0.00; 0.00
15729288.899998; 0.00; 0.00; 0.00
15749595.272999; 0.00; 0.00; 0.00
15761992.011997; 0.00; 0.00; 0.00
15780930.400000; 0.00; 0.00; 0.00
15798762.100000; 0.00; 0.00; 0.00
15813486.936001; 0.00; 0.00; 0.00
15829221.123001; 0.00; 0.00; 0.00
15841547.177999; 0.00; 0.00; 0.00
15861054.202000; 0.00; 0.00; 0.00
15877266.955999; 0.00; 0.00; 0.00
15895192.524000; 0.00; 0.00; 0.00
15906002.410000; 0.00; 0.00; 0.00
15930132.455000; 0.00; 0.00; 0.00
15937871.071001; 0.00; 0.00; 0.00
15953429.372999; 0.00; 0.00; 0.00
15979723.166998; 0.00; 0.00; 0.00
15986813.007999; 0.00; 0.00; 0.00
16004009.861000; 0.00; 0.00; 0.00
16016778.999998; 0.00; 0.00; 0.00
16035135.032999; 0.00; 0.00; 0.00
16049974.845999; 0.00; 0.00; 0.00
16066109.230000; 0.00; 0.00; 0.00
16083794.643000; 0.00; 0.00; 0.00
16097654.526999; 0.00; 0.00; 0.00
16113367.851999; 0.00; 0.00; 0.00
16128661.537001; 0.00; 0.00; 0.00
16144825.263000; 0.00; 0.00; 0.00
16161936.621000; 0.00; 0.00; 0.00
16178728.913000; 0.00; 0.00; 0.00
16192653.776999; 0.00; 0.00; 0.00
16209099.693998; 0.00; 0.00; 0.00
16224955.311998; 0.00; 0.00; 0.00
16242803.222998; 0.00; 0.00; 0.00
16259260.406998; 0.00; 0.00; 0.00
16272737.592001; 0.00; 0.00; 0.00
16289968.135000; 0.00; 0.00; 0.00
16304746.542999; 0.00; 0.00; 0.00
16322830.629000; 0.00; 0.00; 0.00
16337576.589998; 0.00; 0.00; 0.00
16353212.324001; 0.00; 0.00; 0.00
16369226.146999; 0.00; 0.00; 0.00
16387328.362999; 0.00; 0.00; 0.00
16402272.069000; 0.00; 0.00; 0.00
16417856.213001; 0.00; 0.00; 0.00
16433774.030001; 0.00; 0.00; 0.00
16448668.328999; 0.00; 0.00; 0.00
16466482.719000; 0.00; 0.00; 0.00
16480717.088999; 0.00; 0.00; 0.00
16498012.258999; 0.00; 0.00; 0.00
16513767.546000; 0.00; 0.00; 0.00
16530842.049000; 0.00; 0.00; 0.00
16544686.306999; 0.00; 0.00; 0.00
16563575.382000; 0.00; 0.00; 0.00
16578311.108999; 0.00; 0.00; 0.00
16596467.448999; 0.00; 0.00; 0.00
16610006.301998; 0.00; 0.00; 0.00
16630004.470001; 0.00; 0.00; 0.00
16642342.941999; 0.00; 0.00; 0.00
16661803.266001; 0.00; 0.00; 0.00
16672637.522999; 0.00; 0.00; 0.00
16693840.073000; 0.00; 0.00; 0.00
16704792.084999; 0.00; 0.00; 0.00
16722441.416998; 0.00; 0.00; 0.00
16737985.985001; 0.00; 0.00; 0.00
16754260.425999; 0.00; 0.00; 0.00
16768861.307999; 0.00; 0.00; 0.00
16786291.156000; 0.00; 0.00; 0.00
16800717.170002; 0.00; 0.00; 0.00
16817965.858997; 0.00; 0.00; 0.00
16833264.842001; 0.00; 0.00; 0.00
16850886.657001; 0.00; 0.00; 0.00
16865215.177000; 0.00; 0.00; 0.00
16882562.705000; 0.00; 0.00; 0.00
16896591.736000; 0.00; 0.00; 0.00
16914004.071001; 0.00; 0.00; 0.00
16928645.486002; 0.00; 0.00; 0.00
16945366.009001; 0.00; 0.00; 0.00
16962514.849001; 0.00; 0.00; 0.00
16976903.046999; 0.00; 0.00; 0.00
16993944.350000; 0.00; 0.00; 0.34
17008571.716000; 0.01; 0.00; 0.69
17031005.509001; 0.01; 0.00; 1.26
17043890.650999; 0.01; 0.00; 1.70
17058625.670002; 0.02; 0.00; 2.10
17074236.681997; 0.02; 0.00; 2.44
17090292.340000; 0.02; 0.00; 2.85
17104946.702999; 0.02; 0.00; 3.28
17123389.275000; 0.03; 0.00; 3.81
17137788.502001; 0.03; 0.00; 4.17
17156028.475002; 0.03; 0.00; 4.65
17173661.165998; 0.04; 0.00; 5.05
17184611.926001; 0.04; 0.00; 5.36
17206713.159002; 0.04; 0.00; 5.94
17217940.108999; 0.05; 0.00; 6.33
17233107.775000; 0.05; 0.00; 6.61
17248654.944000; 0.05; 0.00; 7.03
17268442.190998; 0.06; 0.00; 7.60
17285463.584002; 0.06; 0.00; 8.05
17296646.920000; 0.06; 0.00; 8.39
17314261.598000; 0.07; 0.01; 8.85
17328630.959000; 0.07; 0.01; 9.25
17347537.171001; 0.07; 0.01; 9.74
17363522.056000; 0.08; 0.01; 10.19
17377504.403002; 0.08; 0.01; 10.52
17399538.546001; 0.08; 0.01; 11.05
17411729.629000; 0.09; 0.01; 11.45
17430954.778000; 0.09; 0.01; 11.88
17453166.545998; 0.09; 0.01; 12.44
17461283.779001; 0.10; 0.01; 12.77
17473928.511002; 0.10; 0.01; 13.12
17491992.615000; 0.10; 0.01; 13.61
17505112.897001; 0.10; 0.01; 13.91
17520636.983002; 0.11; 0.01; 14.32
17547307.136999; 0.11; 0.01; 14.97
17552581.656000; 0.11; 0.01; 15.18
17568665.004002; 0.12; 0.02; 15.53
17584653.174999; 0.12; 0.02; 15.94
17604072.243000; 0.12; 0.02; 16.47
17626023.557001; 0.13; 0.02; 17.15
17641131.885000; 0.13; 0.02; 17.45
17654931.492998; 0.13; 0.02; 17.88
17665278.928999; 0.13; 0.02; 18.17
17684763.423000; 0.14; 0.02; 18.72
17699787.408001; 0.14; 0.02; 19.02
17721247.270002; 0.15; 0.02; 19.62
17728733.591002; 0.15; 0.03; 19.87
17744734.665001; 0.15; 0.03; 20.31
17762501.150999; 0.15; 0.03; 20.77
17785310.135002; 0.16; 0.03; 21.29
17795458.547001; 0.16; 0.03; 21.60
17808929.299002; 0.16; 0.03; 21.99
17828225.725000; 0.17; 0.03; 22.51
17841259.532001; 0.17; 0.03; 22.87
17858790.351999; 0.17; 0.04; 23.35
17876080.008999; 0.17; 0.04; 23.80
17892960.968998; 0.18; 0.04; 24.23
17911746.925999; 0.18; 0.04; 24.73
17923174.765999; 0.18; 0.04; 24.97
17941401.060999; 0.19; 0.04; 25.51
17960461.673000; 0.19; 0.04; 26.03
17969625.601999; 0.19; 0.04; 26.29
17991343.355999; 0.19; 0.05; 26.74
18017094.522999; 0.20; 0.05; 27.14
18025103.939999; 0.20; 0.05; 27.16
18032669.272999; 0.20; 0.05; 27.17
