t; x; y; theta
19408584.165993; 0.00; 0.00; 0.00
19426722.139999; 0.00; 0.00; 0.00
19440615.948997; 0.00; 0.00; 0.00
19456657.962997; 0.00; 0.00; 0.00
19472696.802994; 0.00; 0.00; 0.00
19489258.806999; 0.00; 0.00; 0.00
19512714.223999; 0.00; 0.00; 0.00
19523066.127998; 0.00; 0.00; 0.00
19536747.805000; 0.00; 0.00; 0.00
19552796.808998; 0.00; 0.00; 0.00
19568648.464996; 0.00; 0.00; 0.00
19585855.334999; 0.00; 0.00; 0.00
19601030.487000; 0.00; 0.00; 0.00
19616692.723000; 0.00; 0.00; 0.00
19634964.862000; 0.00; 0.00; 0.00
19648623.152000; 0.00; 0.00; 0.00
19667411.362000; 0.00; 0.00; 0.00
19680689.627998; 0.00; 0.00; 0.00
19698148.295998; 0.00; 0.00; 0.00
19712756.448997; 0.00; 0.00; 0.00
19728666.388000; 0.00; 0.00; 0.00
19744898.008995; 0.00; 0.00; 0.00
19761085.263000; 0.00; 0.00; 0.00
19777076.830002; 0.00; 0.00; 0.00
19792826.176003; 0.00; 0.00; 0.00
19808820.308998; 0.00; 0.00; 0.00
19827998.390999; 0.00; 0.00; 0.00
19841255.429001; 0.00; 0.00; 0.00
19856691.377998; 0.00; 0.00; 0.00
19872855.439003; 0.00; 0.00; 0.00
19889578.052994; 0.00; 0.00; 0.00
19904699.707001; 0.00; 0.00; 0.00
19922777.367996; 0.00; 0.00; 0.00
19936709.597000; 0.00; 0.00; 0.00
19954299.752998; 0.00; 0.00; 0.00
19969591.459999; 0.00; 0.00; 0.00
19984688.039993; 0.00; 0.00; 0.00
20002414.392998; 0.00; 0.00; 0.00
20016725.905998; 0.00; 0.00; 0.00
20034216.409996; 0.00; 0.00; 0.00
20048879.987999; 0.00; 0.00; 0.00
20066029.334000; 0.00; 0.00; 0.00
20082206.735001; 0.00; 0.00; 0.00
20097134.617004; 0.00; 0.00; 0.00
20112762.233994; 0.00; 0.00; 0.00
20128621.775993; 0.00; 0.00; 0.00
20144991.574997; 0.00; 0.00; 0.00
20160913.106003; 0.00; 0.00; 0.00
20178993.641998; 0.00; 0.00; 0.00
20193805.729996; 0.00; 0.00; 0.00
20209376.640999; 0.00; 0.00; 0.00
20224928.611000; 0.00; 0.00; 0.00
20241018.989998; 0.00; 0.00; 0.00
20256660.500000; 0.00; 0.00; 0.00
20272838.174995; 0.00; 0.00; 0.00
20289432.671997; 0.00; 0.00; 0.00
20305682.585999; 0.00; 0.00; 0.00
20320734.740997; 0.00; 0.00; 0.00
20338018.812996; 0.00; 0.00; 0.00
20352620.076996; 0.00; 0.00; 0.00
20368701.723000; 0.00; 0.00; 0.00
20384658.494003; 0.00; 0.00; 0.00
20402963.355995; 0.00; 0.00; 0.00
20417431.428001; 0.00; 0.00; 0.00
20432648.202995; 0.00; 0.00; 0.00
20448742.812004; 0.00; 0.00; 0.00
20464642.272003; 0.00; 0.00; 0.00
20481803.794998; 0.00; 0.00; 0.00
20496715.254997; 0.00; 0.00; 0.00
20512619.257996; 0.00; 0.00; 0.00
20528858.735001; 0.00; 0.00; 0.00
20545611.134995; 0.00; 0.00; 0.00
20562832.093002; 0.00; 0.00; 0.00
20576960.030998; 0.00; 0.00; 0.00
20594455.099998; 0.00; 0.00; 0.00
20609747.376999; 0.00; 0.00; 0.00
20625544.557999; 0.00; 0.00; 0.00
20649046.773003; 0.00; 0.00; 0.08
20656715.604004; 0.00; 0.00; 0.18
20673035.844994; 0.00; 0.00; 0.39
20688679.760994; 0.00; 0.00; 0.59
20704696.514999; 0.00; 0.00; 0.78
20720656.741997; 0.00; 0.00; 0.99
20736699.728004; 0.00; 0.00; 1.19
20753905.726997; 0.00; 0.00; 1.42
20768692.450996; 0.00; 0.00; 1.59
20786063.281998; 0.00; 0.00; 1.82
20802074.444000; 0.00; 0.00; 2.03
20816649.177994; 0.00; 0.00; 2.21
20832710.592003; 0.00; 0.00; 2.40
20850595.322998; 0.00; 0.00; 2.64
20866236.690002; 0.00; 0.00; 2.84
20881522.818993; 0.00; 0.00; 3.04
20896887.341995; 0.00; 0.00; 3.23
20912673.152992; 0.00; 0.00; 3.42
20928948.621994; 0.00; 0.00; 3.63
20944941.459999; 0.00; 0.00; 3.83
20963488.453995; 0.00; 0.00; 4.08
20976681.479996; 0.00; 0.00; 4.21
20992618.974998; 0.00; 0.00; 4.42
21008649.798996; 0.00; 0.00; 4.65
21024644.928001; 0.00; 0.00; 4.85
21042512.862999; 0.00; 0.00; 5.08
21058476.160004; 0.00; 0.00; 5.28
21073653.167000; 0.00; 0.00; 5.48
21088645.701996; 0.00; 0.00; 5.65
21106810.206993; 0.00; 0.00; 5.89
21122022.181000; 0.00; 0.00; 6.09
21138375.848000; 0.00; 0.00; 6.30
21154696.029999; 0.00; 0.00; 6.50
21169373.839996; 0.00; 0.00; 6.69
21184692.916992; 0.00; 0.00; 6.88
21200680.113998; 0.00; 0.00; 7.08
21218255.330994; 0.00; 0.00; 7.31
21233465.559998; 0.00; 0.00; 7.50
21249575.441002; 0.00; 0.00; 7.71
21264630.084999; 0.00; 0.00; 7.89
21280638.853996; 0.00; 0.00; 8.08
21296622.185997; 0.00; 0.00; 8.29
21314621.308998; 0.00; 0.00; 8.52
21330194.723999; 0.00; 0.00; 8.68
21344811.527000; 0.00; 0.00; 8.83
21362078.271996; 0.00; 0.00; 9.02
21378777.785995; 0.00; 0.00; 9.19
21392625.029999; 0.00; 0.00; 9.34
21408966.225998; 0.00; 0.00; 9.53
21424825.660995; 0.00; 0.00; 9.70
21440690.740997; 0.00; 0.00; 9.85
21458253.320992; 0.00; 0.00; 10.05
21474999.732994; 0.00; 0.00; 10.23
21490222.990997; 0.00; 0.00; 10.40
21505361.832001; 0.00; 0.00; 10.56
21520641.240997; 0.00; 0.00; 10.71
21537519.058998; 0.00; 0.00; 10.90
21552678.824997; 0.00; 0.00; 11.05
21568679.446999; 0.00; 0.00; 11.22
21586659.018997; 0.00; 0.00; 11.43
21600653.788994; 0.00; 0.00; 11.57
21620080.405998; 0.00; 0.00; 11.78
21633302.320999; 0.00; 0.00; 11.93
21651409.976997; 0.00; 0.00; 12.11
21664880.456993; 0.00; 0.00; 12.26
21681270.997002; 0.00; 0.00; 12.44
21697559.578995; 0.00; 0.00; 12.62
21713009.263000; 0.00; 0.00; 12.77
21731075.636002; 0.00; 0.00; 12.97
21745029.798996; 0.00; 0.00; 13.11
21762150.458000; 0.00; 0.00; 13.28
